Data;Casi confermati;Morti;crescita casi;crescita morti;casi_giorno;morti_giorno
10/01/2020;41;1;;;;
11/01/2020;41;1;;;;
12/01/2020;41;1;;;;
13/01/2020;41;1;;;;
14/01/2020;41;1;;;;
15/01/2020;41;2;;;;
16/01/2020;45;2;1,1;1;;
17/01/2020;62;2;1,38;1;;
18/01/2020;121;2;1,95;1;;
19/01/2020;198;3;1,64;1,5;;
20/01/2020;291;6;1,47;2;;
21/01/2020;330;9;1,13;1,5;;
22/01/2020;571;17;1,73;1,89;;
23/01/2020;830;25;1,45;1,47;259;8
24/01/2020;1287;41;1,55;1,64;457;16
25/01/2020;1975;56;1,53;1,37;688;15
26/01/2020;2504;80;1,27;1,43;529;24
27/01/2020;2903;82;1,16;1,03;399;2
28/01/2020;4650;106;1,6;1,29;1747;24
29/01/2020;5578;131;1,2;1,24;928;25
30/01/2020;7260;170;1,3;1,3;1682;39
31/01/2020;9810;213;1,35;1,25;2550;43
01/02/2020;11337;259;1,16;1,22;1527;46
02/02/2020;13950;304;1,23;1,17;2613;45
03/02/2020;16758;361;1,2;1,19;2808;57
04/02/2020;20626;426;1,23;1,18;3868;65
05/02/2020;23865;492;1,16;1,15;3239;66
06/02/2020;27602;564;1,16;1,15;3737;72
07/02/2020;30814;635;1,12;1,13;3212;71
08/02/2020;34375;719;1,12;1,13;3561;84
09/02/2020;37111;806;1,08;1,12;2736;87
10/02/2020;40134;904;1,08;1,12;3023;98
11/02/2020;42729;1013;1,06;1,12;2595;109
12/02/2020;44754;1112;1,05;1,1;2025;99
13/02/2020;60061;1355;1,34;1,22;15307;243
14/02/2020;65213;1486;1,09;1,1;5152;131
15/02/2020;66887;1523;1,03;1,02;1674;37
16/02/2020;69036;1666;1,03;1,09;2149;143
17/02/2020;71223;1770;1,03;1,06;2187;104
18/02/2020;73255;1868;1,03;1,06;2032;98
19/02/2020;75129;2007;1,03;1,07;1874;139
20/02/2020;75640;2121;1,01;1,06;511;114
21/02/2020;76188;2245;1,01;1,06;548;124
22/02/2020;77673;2360;1,02;1,05;1485;115
23/02/2020;78625;2458;1,01;1,04;952;98
24/02/2020;79690;2625;1,01;1,07;1065;167
25/02/2020;80153;2703;1,01;1,03;463;78
26/02/2020;81172;2765;1,01;1,02;1019;62
27/02/2020;82580;2811;1,02;1,02;1408;46
28/02/2020;83077;2858;1,01;1,02;497;47
29/02/2020;85417;2924;1,03;1,02;2340;66
01/03/2020;86576;2977;1,01;1,02;1159;53
02/03/2020;89840;3061;1,04;1,03;3264;84
03/03/2020;91303;3123;1,02;1,02;1463;62
04/03/2020;93531;3206;1,02;1,03;2228;83
